card_id,card_name,effect_id,effect_kind,verdict,changed_from_current,change_explanation,current_encoder_included,formula_key,canonical_program_kind,engine_source
1030,Staryu,card:1030:attack:0,attack,ordinary_field,False,delegated to an ordinary printed/card field,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:11882
1031,Mega Starmie ex,card:1031:attack:0,attack,generic_exact,False,current generic representation is exact,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:11890
1031,Mega Starmie ex,card:1031:attack:1,attack,override_static,True,old tags omit all three bypass rules,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:11893
104,Froslass,card:104:ability:0,ability,override_static,True,"damage=10 loses both-player spread, every-checkup timing, Ability filter, and Froslass exclusion",True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:889
104,Froslass,card:104:attack:0,attack,ordinary_field,False,delegated to an ordinary printed/card field,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:893
1051,Binacle,card:1051:attack:0,attack,generic_exact,False,current generic representation is exact,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:12112
1051,Binacle,card:1051:attack:1,attack,ordinary_field,False,delegated to an ordinary printed/card field,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:12116
1052,Barbaracle,card:1052:ability:0,ability,override_static,True,"energy_accel=1 omits the Basic Fighting hand source, Fighting-Pokémon selector, and once-per-turn limit",True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:12124
1052,Barbaracle,card:1052:attack:0,attack,ordinary_field,False,delegated to an ordinary printed/card field,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:12128
1071,Meowth ex,card:1071:ability:0,ability,override_static,True,"search=1 loses the hand-to-Bench trigger, Supporter filter, reveal/shuffle, optionality, and shared Last-Ditch-name limit",True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:12331
1071,Meowth ex,card:1071:attack:0,attack,override_static,True,old tags omit returning the attacker and every attachment to hand,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:12335
1077,Roto-Stick,card:1077:trainer_effect:0,trainer_effect,override_static,True,"the current encoder omits top-four inspection, any-number Supporter selection/reveal, and rest-to-deck shuffle",False,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:13611
1079,Rare Candy,card:1079:trainer_effect:0,trainer_effect,override_dynamic,True,the current encoder omits Rare Candy's exact Basic-to-matching-Stage-2 relation and both timing prohibitions,False,trainer_01_rare_candy_eligible_evolutions,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:3282
1080,Unfair Stamp,card:1080:trainer_effect:0,trainer_effect,override_dynamic,True,the current encoder omits the prior-turn own-Pokémon KO gate and asymmetric 5/2 hand replacement,False,trainer_01_unfair_stamp_activation_and_draw,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:3291
1081,Enhanced Hammer,card:1081:trainer_effect:0,trainer_effect,override_static,True,the current encoder omits the opponent-side attached Special Energy selector and discard,False,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:3305
1086,Buddy-Buddy Poffin,card:1086:trainer_effect:0,trainer_effect,override_static,True,"the current encoder omits the up-to-two Basic, <=70 HP, open-Bench-slot, deck-to-Bench, and shuffle semantics",False,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:3334
1087,Hand Trimmer,card:1087:trainer_effect:0,trainer_effect,override_dynamic,True,the current encoder omits both discard-until-five calculations and opponent-first resolution order,False,trainer_01_hand_trimmer_discard_counts,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:3340
1088,Prime Catcher,card:1088:trainer_effect:0,trainer_effect,override_static,True,"the current encoder omits opponent gust first, then success-gated own switch",False,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:3349
108,Wellspring Mask Ogerpon ex,card:108:attack:0,attack,generic_exact,False,current generic representation is exact,True,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:936
108,Wellspring Mask Ogerpon ex,card:108:attack:1,attack,override_dynamic,True,"snipe=120/discard_energy=3 lose the optional exactly-three shuffle-to-deck cost, self source, one Bench target, and no Bench Weakness/Resistance",True,pokemon_05_wellspring_ogerpon_torrential_pump,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:939
108,Wellspring Mask Ogerpon ex,card:108:tera:0,tera,override_static,True,the current attack/ability tags omit the Tera Bench-only prevention of attack damage from either player's attacks,False,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:935
1092,Secret Box,card:1092:trainer_effect:0,trainer_effect,override_static,True,the current encoder omits the three-other-card cost and four independently capped Trainer-subtype searches,False,,sequence,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h:3384
